Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
MOV1021,Andrea Smith,Lake Marktown,Tennessee,East,C,Type2,2024-01-19,15,13.65,0.02,6296.28,611.34,1.4,Completed
MOV1022,Christian Holland,Port Garytown,Montana,North,B,Type2,2024-02-19,19,652.08,0.25,5061.02,3457.71,2.4,Pending
MOV1023,Sean Gomez,Kimberlystad,Wisconsin,South,C,Type2,2025-07-28,3,763.81,0.09,8324.62,2361.4,3.7,Completed
MOV1024,Candice Gonzalez,Jamesville,Texas,North,A,Type2,2025-05-15,3,513.07,0.09,5517.5,982.21,1.7,Completed
MOV1025,Nathaniel Merritt,Brittanyport,Wyoming,South,C,Type1,2024-11-26,12,683.85,0.01,2839.96,800.3,1.8,Pending
MOV1026,Holly Henry,Mckenzieside,Massachusetts,South,B,Type2,2024-09-13,5,185.71,0.05,9069.43,505.97,2.1,Pending
MOV1027,Daniel Newman,East Ericmouth,Washington,North,C,Type2,2023-08-21,8,232.51,0.24,6048.28,4410.55,3.1,Pending
MOV1028,Veronica Martinez,,South Dakota,South,A,Type2,2026-02-18,7,395.37,0.28,6535.75,2796.37,3.6,Pending
MOV1029,Terry Serrano,Port Stephanie,New Jersey,South,A,Type2,2025-02-15,17,156.43,,3572.48,3272.61,1.0,Completed
MOV1030,Richard Cruz,Randyfurt,Florida,South,B,Type1,2026-04-24,1,859.93,0.04,7040.43,2530.02,1.2,Completed
MOV1031,Linda Spears,North Lawrencemouth,Tennessee,South,C,Type2,2023-06-01,11,428.58,0.06,1126.95,3877.04,1.7,Cancelled
MOV1032,Julia West,Lake Bryantown,Virginia,East,A,Type1,2024-08-20,1,58.92,0.28,4311.59,4389.69,3.0,Pending
MOV1033,Thomas Valentine,Howardbury,Oklahoma,West,D,Type3,2025-05-22,2,966.68,0.22,3680.38,1557.15,2.6,Cancelled
MOV1034,Bradley Murphy,Danieltown,Rhode Island,South,C,Type1,2024-02-23,14,489.54,0.12,4661.26,4413.02,3.7,Completed
MOV1035,Mary Hall,,Louisiana,South,B,Type1,2025-05-23,19,471.78,0.15,5008.67,812.79,1.5,Pending
MOV1036,Jeremy Ortiz,,Pennsylvania,West,D,Type3,2025-06-16,8,764.55,0.19,829.79,2585.77,2.3,Cancelled
MOV1037,Ashley Gamble,East Ashley,California,East,A,Type1,2026-02-07,14,732.87,0.16,9015.45,4965.51,1.8,Pending
MOV1038,Sandra Morales,West James,Pennsylvania,South,D,Type2,2024-11-01,9,969.43,0.14,5476.16,861.88,3.8,Pending
MOV1039,Amber Harrell,Perezland,North Dakota,East,D,Type1,2024-09-29,4,620.37,0.26,4298.87,-441.11,3.2,Pending
MOV1040,Hannah Brooks,East Christopher,Virginia,North,C,Type3,2025-12-29,13,742.9,0.2,4114.64,1404.95,3.6,Completed
MOV1041,Mrs. Erika Ramsey,Seanside,Oregon,North,C,Type1,2024-09-17,5,878.25,0.29,3746.06,1816.42,1.0,Pending
MOV1042,Jaime Wilson,Roychester,Florida,North,B,Type3,2023-11-11,16,724.02,0.14,1021.29,3460.87,4.5,Pending
MOV1043,Brian Rodriguez,Charlotteside,South Carolina,West,A,Type2,2026-02-17,13,412.3,0.29,5491.65,4077.3,3.2,Cancelled
MOV1044,Whitney Schroeder,New Robertborough,Montana,East,A,Type1,2026-03-12,6,805.99,0.17,1571.87,2752.76,1.5,Completed
MOV1045,Kayla Brown,Port Tiffany,Virginia,South,B,Type3,2023-12-25,8,446.25,0.13,7610.42,2463.52,4.6,Cancelled
MOV1046,Jamie Keller,Dennistown,New Hampshire,East,A,Type3,2026-01-17,13,999.78,0.24,1843.03,798.63,2.1,Completed
MOV1047,Laura Kim,Harrisland,Kansas,North,D,Type2,2023-11-30,4,295.43,0.11,3501.51,3752.24,4.4,Completed
MOV1048,Bradley Black,North Juan,South Carolina,East,B,Type2,2023-06-14,19,63.91,0.28,9977.08,1413.99,1.4,Completed
MOV1049,Jose Sherman,Romanport,Rhode Island,East,D,Type3,2024-12-10,10,166.3,0.18,1282.18,942.45,4.2,Pending
MOV1050,William Carter PhD,Jenniferport,New York,West,D,Type1,2024-06-21,10,975.95,0.03,7018.37,3576.41,3.9,Pending
MOV1051,Jacob Kramer,West Maryside,Michigan,South,C,Type2,2024-07-30,12,536.43,0.02,6454.81,4617.96,4.5,Cancelled
MOV1052,Madison Adams,Lake Mary,Kentucky,South,A,Type2,2023-08-07,4,393.69,,5490.67,3735.95,3.0,Pending
MOV1053,Matthew Robles,,Vermont,South,A,Type2,2026-03-04,13,867.99,0.11,4016.68,3002.36,4.7,Completed
MOV1054,Clifford Acosta,Berryhaven,Indiana,South,C,Type1,2024-11-01,16,230.91,0.25,424.76,4016.25,1.8,Cancelled
MOV1055,Lauren Ruiz,Richardland,Minnesota,West,B,Type3,2024-03-26,6,58.33,0.1,6644.91,399.94,1.7,Completed
MOV1056,Joshua Haney,North Ginaville,Nevada,West,B,Type1,2026-03-25,5,277.82,0.2,966.33,-473.72,3.1,Pending
MOV1057,Robert Clark,Gordonberg,New Jersey,North,C,Type2,2023-06-26,12,35.25,0.08,9856.43,2863.53,4.0,Cancelled
MOV1058,Amber Alexander,Greenefurt,Utah,West,B,Type3,2025-04-26,10,82.58,0.07,2409.56,291.22,4.9,Completed
MOV1059,James Brown,West Richardstad,Tennessee,West,B,Type1,2023-06-05,5,732.27,0.08,2060.93,2488.11,1.6,Cancelled
MOV1060,Joshua Green,North Catherine,West Virginia,South,A,Type3,2025-05-31,3,264.93,0.27,4933.76,887.43,3.0,Completed
MOV1061,Frank Bird,North Rodneyburgh,Maine,North,C,Type1,2026-03-20,11,277.7,0.26,9104.37,3543.95,3.2,Cancelled
MOV1062,Ian Lynch,Port Kennethshire,Minnesota,East,B,Type1,2025-06-26,7,667.45,0.12,4139.41,2371.87,2.2,Cancelled
MOV1063,Jasmine Wilson,Scotttown,West Virginia,West,B,Type1,2024-05-20,17,424.98,0.17,8074.56,2945.37,3.4,Pending
MOV1064,Michael Garcia,New Michaelview,Wyoming,North,A,Type2,2025-06-13,1,188.97,0.26,5872.07,3390.08,2.7,Pending
MOV1065,Daniel Wilson,South Amyview,Delaware,East,A,Type1,2025-08-01,7,172.7,0.02,2181.22,4376.41,4.8,Completed
MOV1066,Caitlin Craig,South Benjamin,Massachusetts,South,D,Type1,2025-02-08,14,63.34,0.01,9162.47,4935.49,2.8,Completed
MOV1067,Elizabeth Patel,Kristinfort,Oregon,East,B,Type3,2026-03-05,9,22.77,0.2,9042.85,1933.24,4.1,Pending
MOV1068,Steven Peterson,Griffinshire,Iowa,East,B,Type1,2025-06-28,18,604.86,0.2,2892.24,3996.17,4.4,Pending
MOV1069,Patricia Clark MD,Joelville,Washington,North,A,Type1,2025-04-22,13,921.72,0.18,1963.16,2006.34,1.7,Completed
MOV1070,Michael Norton,Port Justinstad,California,East,C,Type1,2024-06-28,3,927.13,0.04,4904.73,2314.7,2.0,Cancelled
MOV1071,Sarah Wilson,New Brittany,Maine,West,A,Type3,2025-03-24,4,105.47,0.15,5648.42,1.32,2.1,Completed
MOV1072,Bethany Howard,Riveratown,Wisconsin,West,C,Type2,2025-07-04,1,595.49,0.28,8050.42,3399.07,4.1,Completed
MOV1073,Amy Zimmerman,South Victoria,Indiana,North,D,Type1,2025-10-25,15,885.57,0.1,236.47,4395.04,2.0,Pending
MOV1074,Brian Villanueva,Williamsview,Rhode Island,North,B,Type3,2026-05-01,3,685.87,0.15,6549.87,3692.75,3.4,Cancelled
MOV1075,Kelsey Marquez,Oconnellton,West Virginia,North,D,Type3,2025-10-22,10,453.98,0.24,109.76,4241.64,2.2,Cancelled
MOV1076,Scott Beck,East Joseph,South Carolina,South,D,Type1,2024-08-28,6,87.46,0.2,2276.54,3268.76,3.8,Cancelled
MOV1077,Eddie Hamilton,Lake Natasha,Virginia,West,B,Type1,2023-12-17,6,436.82,0.22,7890.66,1768.49,3.3,Pending
MOV1078,Rebecca Torres,Edwardsborough,Louisiana,East,C,Type1,2024-10-05,8,419.99,0.14,8770.93,,4.2,Cancelled
MOV1079,Karen Baker,Kennethville,Mississippi,West,C,Type1,2025-07-06,6,630.38,0.03,3230.9,1227.3,2.3,Pending
MOV1080,Michele Roberts,East Stephenview,Rhode Island,West,D,Type1,2025-02-10,19,442.53,0.01,2105.73,4934.06,4.7,Pending
MOV1081,James Davis,Fosterside,Arizona,West,B,Type2,2025-01-08,18,87.65,0.13,850.26,2428.79,1.6,Pending
MOV1082,Patricia Santiago,Port Shaneberg,Utah,West,C,Type3,2024-01-03,14,864.72,,4772.71,4783.91,4.5,Cancelled
MOV1083,James Wells,Matthewland,Florida,North,D,Type1,2024-06-30,4,874.74,0.28,2630.16,561.0,4.6,Pending
MOV1084,Carol Johnson,East Jeffrey,Tennessee,North,C,Type2,2025-02-27,4,647.14,0.22,2790.0,1236.09,4.3,Cancelled
MOV1085,Oscar Woods,West Ryanton,Maryland,West,B,Type2,2024-08-18,10,808.53,0.02,8232.43,1737.34,2.5,Pending
MOV1086,Felicia Frederick,Lewisside,North Dakota,East,D,Type2,2026-02-25,11,977.57,0.14,5924.68,895.7,1.9,Completed
MOV1087,Norma Ramsey,Jessicafurt,California,North,D,Type1,2024-09-16,18,262.17,0.14,1452.82,381.19,4.6,Completed
MOV1088,Howard Gonzalez,Port Meganside,Ohio,South,C,Type3,2024-02-03,16,730.25,0.07,1421.58,1867.58,1.9,Cancelled
MOV1089,Clarence Zimmerman,New Bryan,Texas,East,B,Type3,2025-03-10,6,19.92,0.06,154.92,1897.0,2.3,Cancelled
MOV1090,Donna Walker,Bryantberg,Oregon,South,C,Type2,2024-02-01,1,503.66,0.2,8448.13,1983.24,1.1,Cancelled
MOV1091,Frank Reed,North Rebecca,Louisiana,West,A,Type3,2025-08-07,11,151.98,0.29,8054.01,3025.41,1.6,Completed
MOV1092,Tiffany Cline,Taylorfort,Nevada,West,A,Type3,2026-01-08,17,682.23,0.09,7695.08,,1.3,Cancelled
MOV1093,Dana Avery,Michelleside,North Dakota,East,D,Type1,2024-06-23,14,456.4,,3719.35,725.17,4.9,Cancelled
MOV1094,Shelly Mccarty,Andreaville,North Dakota,South,D,Type1,2024-11-16,8,394.88,0.07,8996.44,2926.41,4.0,Cancelled
MOV1095,Angelica Johnson,West Charles,Iowa,West,B,Type3,2025-01-02,14,690.2,0.04,3878.58,1565.89,4.1,Pending
MOV1096,Richard Brown,Lake Josefurt,Alabama,West,D,Type3,2024-11-30,9,938.88,0.25,3599.43,1002.16,3.2,Pending
MOV1097,Lynn Kemp,North Richard,Missouri,West,D,Type3,2023-10-28,14,239.64,0.23,3604.82,1365.55,3.1,Pending
MOV1098,Donald Mckee,West Melissaville,Oklahoma,South,D,Type3,2025-04-27,17,989.55,0.24,6003.8,2356.41,2.1,Cancelled
MOV1099,Glenn Webster,Port Andrew,Connecticut,North,A,Type1,2023-11-11,9,513.02,0.3,3840.14,929.8,1.2,Cancelled
MOV1100,Ethan Patton,Christinaborough,Oklahoma,West,D,Type3,2025-12-05,8,897.7,0.21,2920.64,2368.43,2.8,Cancelled
MOV1101,Caleb Roberson,New Jeremy,Ohio,South,B,Type2,2024-10-18,8,765.39,0.09,5747.95,3175.19,1.3,Cancelled
MOV1102,Shirley Jones,Smithside,Delaware,West,C,Type2,2025-12-11,8,241.07,0.22,7408.63,3250.2,3.9,Completed
MOV1103,Nancy Ayers,Jenkinsmouth,New Hampshire,South,B,Type2,2023-10-19,1,870.61,0.3,1703.78,2312.53,4.9,Cancelled
MOV1104,Javier Moss,South Jimmyhaven,Pennsylvania,West,D,Type1,2025-11-13,17,733.51,0.26,9030.87,3297.82,1.0,Cancelled
MOV1105,Susan Wilson,Lake Hayley,Delaware,East,D,Type3,2025-06-04,6,116.41,0.05,1941.54,1001.17,3.3,Pending
MOV1106,Christian Hernandez,Lake Tinaland,Oklahoma,West,B,Type1,2024-05-18,10,836.13,0.06,4933.13,4887.07,2.2,Cancelled
MOV1107,Destiny Bond,Lake Robertfurt,California,South,C,Type2,2024-07-21,8,173.38,0.15,5856.45,-469.98,3.2,Pending
MOV1108,Kayla Anderson,Port Jessica,Connecticut,North,C,Type1,2026-01-22,17,527.64,0.17,997.24,2451.22,4.9,Cancelled
MOV1109,Madeline Lara,East Hectormouth,Rhode Island,South,D,Type2,2023-12-16,6,596.89,0.28,8161.54,3155.4,1.7,Completed
MOV1110,Ashley Davidson,New Larryburgh,Pennsylvania,North,C,Type1,2023-09-04,1,617.19,0.14,4017.68,4630.58,4.7,Completed
MOV1111,Robert Hull,Riceville,Nevada,South,C,Type3,2025-07-07,18,592.1,0.16,7291.58,4054.36,1.6,Completed
MOV1112,Taylor Garcia DDS,North Rachelton,Arkansas,North,A,Type1,2024-10-14,4,840.75,0.22,2092.1,1908.41,2.4,Cancelled
MOV1113,Beth Swanson,Simmonsbury,Rhode Island,South,C,Type1,2024-07-08,8,326.08,0.17,8497.45,1217.32,2.1,Cancelled
MOV1114,Douglas Williams,East Jorgeview,Ohio,South,B,Type3,2024-02-07,7,124.61,0.13,1339.16,2966.21,3.5,Completed
MOV1115,Denise Anderson,West Elizabethport,Rhode Island,West,D,Type3,2024-05-11,11,907.86,0.2,9711.23,415.47,2.4,Pending
MOV1116,Debra Sanchez,North Charles,North Dakota,North,D,Type3,2026-02-17,8,538.02,0.24,1081.53,186.54,4.5,Completed
MOV1117,Mallory Martinez,North Denisemouth,Illinois,West,A,Type2,2023-06-03,7,691.64,,2862.14,-344.98,2.5,Cancelled
MOV1118,Mr. Connor Williams,Hillberg,Delaware,South,D,Type2,2023-12-29,19,845.73,0.17,5045.31,843.26,1.7,Pending
MOV1119,Sandra Andersen,Lewiston,Connecticut,West,A,Type2,2023-08-01,16,623.13,0.08,4579.81,4136.93,1.9,Pending
MOV1120,Jeffrey Graham PhD,Susanbury,Maine,East,C,Type2,2024-06-02,15,382.34,0.01,5766.26,3055.77,1.2,Cancelled
MOV1121,Anthony Frost,Stewartbury,Texas,West,C,Type1,2023-06-10,19,266.63,0.23,9481.17,3934.31,3.9,Pending
MOV1122,Jon Harris,Josestad,New Jersey,South,A,Type3,2025-12-05,12,180.32,0.25,4256.43,-279.68,2.8,Pending
MOV1123,Jacob Howe,Harringtonside,Ohio,South,A,Type3,2025-12-22,19,898.86,0.21,2652.12,1061.19,3.5,Pending
MOV1124,Craig Hoffman,Kevinstad,Michigan,South,C,Type1,2025-02-12,16,874.74,0.19,4522.41,40.12,1.2,Pending
MOV1125,Jonathan Molina,Port Nichole,Alaska,South,A,Type3,2025-02-10,6,626.85,0.23,8038.07,3038.66,2.6,Pending
MOV1126,Zachary Pratt,Port Rebeccastad,Rhode Island,East,C,Type3,2026-04-30,8,191.33,0.19,9946.16,4673.34,1.1,Completed
MOV1127,Jennifer Hill,North Sarahville,South Carolina,East,D,Type2,2026-02-27,9,910.83,0.1,7621.82,4592.57,3.7,Cancelled
MOV1128,Dr. Amanda Ray,Wallacebury,Nevada,East,D,Type3,2025-04-17,15,135.1,0.17,9882.82,3028.32,4.2,Completed
MOV1129,Amanda Miller,Terryfurt,Washington,West,B,Type3,2025-08-15,18,177.12,0.22,6925.26,-325.97,4.5,Pending
MOV1130,Madison Cuevas,Henryville,Rhode Island,South,D,Type1,2023-09-18,11,447.52,0.28,5023.42,2949.05,4.2,Cancelled
MOV1131,Debra Garcia,Martinburgh,Delaware,West,C,Type2,2024-07-12,8,566.15,0.11,9335.52,54.73,3.4,Cancelled
MOV1132,Tina Hamilton,South Amanda,Utah,South,C,Type3,2025-08-22,19,801.98,0.08,1321.33,1570.43,2.7,Cancelled
MOV1133,Anita Haynes,Danaborough,Ohio,South,D,Type3,2025-07-11,15,747.31,0.29,9786.15,780.03,3.5,Pending
MOV1134,Robert Bowen,Davisport,Oklahoma,West,A,Type2,2024-11-15,17,118.0,0.26,1986.88,,3.5,Completed
MOV1135,Lisa Gray,South Johnny,South Dakota,West,A,Type1,2023-06-18,6,195.26,0.11,6548.58,2345.14,2.7,Pending
MOV1136,Amanda Cortez,West Josephchester,New Jersey,North,B,Type2,2025-04-25,18,674.18,0.03,3947.31,1714.82,2.4,Completed
MOV1137,Brian Hill,Chadchester,Oregon,West,C,Type3,2025-04-04,15,190.3,0.22,9010.36,2047.07,3.9,Pending
MOV1138,Lindsay Patel,Edwardside,Nevada,West,B,Type1,2024-11-04,12,848.15,0.16,7465.47,3197.58,1.6,Pending
MOV1139,Richard Garza,Davenportview,Tennessee,West,A,Type2,2026-05-03,12,640.04,0.06,5579.14,-244.26,1.2,Cancelled
MOV1140,Elizabeth Bell,New Lisa,Maine,South,D,Type2,2025-07-25,19,428.59,0.09,9012.23,1764.32,2.5,Pending
MOV1141,Tonya Robinson,New Seanberg,Nevada,South,D,Type2,2024-06-19,4,503.93,0.15,9206.77,2561.1,3.6,Cancelled
MOV1142,Victoria Reilly,North Kristine,North Dakota,North,C,Type1,2024-02-09,1,114.84,0.29,5658.56,2495.62,2.5,Pending
MOV1143,Ruth Powell,East Howard,California,South,C,Type1,2023-07-08,12,918.47,0.12,4703.09,2900.57,2.3,Completed
MOV1144,Christopher Goodwin,West Meganbury,Nevada,East,A,Type2,2024-08-11,19,278.3,0.15,3458.35,-494.62,2.8,Cancelled
MOV1145,Cindy Williams,Port Mikaylahaven,Connecticut,North,B,Type1,2023-11-06,7,21.71,0.1,6385.96,3953.82,3.9,Cancelled
MOV1146,Lauren Johnston,,Wisconsin,East,A,Type1,2026-02-05,19,197.97,0.02,573.63,1707.72,2.5,Cancelled
MOV1147,Erica Smith,Lake Deanna,Colorado,East,A,Type3,2023-06-30,12,788.15,0.28,8223.25,1392.99,1.3,Cancelled
MOV1148,Heather Wells,Port Grace,Vermont,East,B,Type1,2024-04-24,16,114.96,0.28,5639.49,1800.92,4.0,Completed
MOV1149,Andrew Williams,West Holly,Indiana,West,B,Type3,2024-03-02,18,831.8,0.29,3651.44,1321.52,4.2,Pending
MOV1150,Amber West,New Davidside,Rhode Island,West,C,Type1,2024-12-04,15,583.96,0.1,5009.58,1616.36,2.4,Pending
MOV1151,Elizabeth Lee,Huffmantown,Rhode Island,East,D,Type1,2024-09-01,4,908.67,0.16,4781.85,4237.33,2.1,Cancelled
MOV1152,Andrew White,Powellchester,South Carolina,East,B,Type2,2024-05-15,13,80.37,0.22,8184.13,4261.02,1.4,Pending
MOV1153,Michael Hall,Port Michaelborough,New York,West,D,Type3,2023-12-16,5,908.47,0.23,7522.3,3970.69,3.8,Completed
MOV1154,Phillip Perkins,Morganmouth,Nebraska,North,D,Type1,2024-11-21,15,416.52,0.16,5308.79,3922.98,1.9,Pending
MOV1155,David Frost,New Andrewland,Minnesota,West,B,Type1,2023-06-22,3,815.25,0.18,6827.44,2194.09,1.2,Completed
MOV1156,Eric Davis,Lisaton,Massachusetts,West,D,Type2,2024-05-22,11,393.54,0.03,6747.29,81.69,1.9,Completed
MOV1157,Jason Wilson,Port Robertville,Alaska,East,D,Type1,2024-03-07,3,107.53,0.03,2814.4,1030.53,2.0,Completed
MOV1158,Rachel Jensen,Ashleyview,South Dakota,West,A,Type3,2023-11-10,8,884.67,0.19,8859.11,2967.16,1.5,Pending
MOV1159,Scott Jensen,Jonesmouth,Maine,East,A,Type3,2024-10-07,10,28.91,0.04,6358.65,,3.2,Completed
MOV1160,Jared Reyes,Gabriellefort,Michigan,East,D,Type1,2023-10-07,1,443.26,0.2,7843.51,2313.0,2.4,Cancelled
MOV1161,Veronica Johnson,Suzannechester,Idaho,West,B,Type1,2026-05-22,18,379.59,0.27,1771.81,,2.6,Completed
MOV1162,Elizabeth Davis,Rachelbury,Massachusetts,East,B,Type3,2023-11-23,10,357.58,0.26,6709.98,3241.42,3.8,Pending
MOV1163,Susan Brock,North Shannonbury,South Dakota,South,B,Type3,2024-11-24,17,462.08,0.16,9138.62,881.53,3.0,Cancelled
MOV1164,Danielle Willis,Sandrafort,New Jersey,North,A,Type2,2024-02-22,19,58.71,0.07,7327.1,1338.26,3.6,Pending
MOV1165,Alec Galvan,West Joyce,Colorado,North,C,Type2,2024-12-30,12,717.63,0.03,5150.09,2678.53,2.1,Completed
MOV1166,Ryan Johnson,South Carlosborough,Georgia,North,B,Type2,2026-04-04,4,141.99,0.29,5310.15,2817.06,5.0,Pending
MOV1167,Travis Humphrey,West Jennifer,Wyoming,East,A,Type2,2025-06-11,8,300.49,0.22,846.13,106.04,1.7,Pending
MOV1168,Kelly Miller,Port Richard,Utah,East,A,Type1,2023-07-15,7,958.6,0.2,3769.24,-227.85,3.6,Cancelled
MOV1169,Destiny Flores,Port Cody,Vermont,North,B,Type2,2026-05-06,16,845.75,0.29,6420.89,351.29,4.6,Pending
MOV1170,Leah Fritz,New Anthonyside,Vermont,West,C,Type3,2023-07-19,1,508.5,0.18,841.36,2888.18,1.3,Pending
MOV1171,Mary Everett DVM,Michaeltown,Louisiana,East,B,Type3,2025-07-03,2,408.96,0.24,9434.17,2999.0,1.8,Cancelled
MOV1172,Brandon Reyes,Brookshaven,Wisconsin,North,C,Type3,2023-05-29,2,920.67,0.14,4069.81,391.66,4.3,Pending
MOV1173,Ryan Holt,Davidfurt,Texas,South,A,Type1,2024-11-03,14,901.45,0.18,6852.01,2064.66,2.0,Pending
MOV1174,Ms. Lori Roy,Pamelahaven,California,South,C,Type2,2024-05-29,14,653.96,0.17,2802.3,3115.15,2.9,Completed
MOV1175,Andres Walker,Port Bethany,Missouri,East,C,Type2,2024-07-13,16,320.35,0.07,8984.76,2102.47,3.8,Completed
MOV1176,Renee Porter,Bennetttown,Delaware,West,C,Type1,2023-08-29,7,781.81,0.08,7695.64,,3.8,Completed
MOV1177,Walter White,Lake Katie,Pennsylvania,South,C,Type1,2026-04-05,15,592.76,0.08,6942.83,2979.12,2.2,Pending
MOV1178,Patrick Quinn,North Carolburgh,Louisiana,West,A,Type2,2024-06-21,8,130.11,0.01,7348.64,3239.1,3.0,Cancelled
MOV1179,Tara Gilmore,Port Amandafort,South Carolina,East,D,Type1,2025-06-27,11,141.8,0.28,555.07,4874.25,1.1,Cancelled
MOV1180,Benjamin Harris,Davidport,Kansas,North,B,Type1,2023-10-25,1,271.82,,8525.28,1177.34,1.0,Cancelled
MOV1181,Karla Rodriguez,New Carloshaven,South Carolina,East,A,Type2,2024-03-25,6,571.68,0.11,706.85,585.43,1.9,Cancelled
MOV1182,Patrick Doyle,North Michaeltown,North Dakota,East,A,Type1,2024-04-16,4,40.46,0.03,7981.42,3346.77,3.8,Cancelled
MOV1183,William Walsh,Cardenasmouth,New York,East,A,Type2,2025-08-13,10,858.88,0.04,2401.65,728.55,2.7,Completed
MOV1184,Jenna Browning,Maryburgh,Indiana,North,B,Type1,2026-05-07,19,192.91,0.12,6902.99,1647.9,4.2,Cancelled
MOV1185,Christina Torres,Sandersville,Alabama,East,C,Type1,2025-02-01,14,791.56,0.19,1537.41,3794.86,3.7,Pending
MOV1186,Ashley Lucas,Mcmillanchester,Wisconsin,East,D,Type2,2024-01-17,3,846.01,0.3,7150.36,-90.59,1.7,Cancelled
MOV1187,Danielle Bryant,Williammouth,Oregon,West,D,Type3,2023-11-02,19,362.15,0.01,4303.11,4598.38,2.1,Completed
MOV1188,Franklin Morales,South Sheryl,Mississippi,South,D,Type3,2025-04-01,12,343.79,0.04,7996.63,2429.31,4.3,Completed
MOV1189,Elizabeth Figueroa,Lake Jessica,Vermont,South,C,Type1,2026-01-19,5,150.33,,9882.2,-91.89,3.4,Cancelled
MOV1190,Deborah Brown,Wilkinsonport,Pennsylvania,North,D,Type3,2024-02-13,7,610.92,0.19,5919.29,4332.02,2.3,Pending
MOV1191,Elizabeth Rosario,Grossmouth,Louisiana,West,A,Type2,2025-05-30,2,322.37,0.26,6690.77,1396.53,1.3,Cancelled
MOV1192,John Patel,Gateshaven,Kentucky,North,A,Type2,2025-06-06,12,636.25,,7042.4,232.08,4.5,Cancelled
MOV1193,William Cantu,West Paul,Georgia,East,B,Type3,2024-06-20,3,361.65,0.24,6100.55,3047.25,1.3,Completed
MOV1194,Eric Odonnell,South Sara,Minnesota,West,B,Type1,2025-12-31,7,70.76,0.13,4717.41,4320.46,3.5,Completed
MOV1195,Jeanette Scott,South Steven,Delaware,North,C,Type1,2025-11-26,19,490.4,,8650.04,4932.8,1.0,Cancelled
MOV1196,Andrew Butler,Velasquezberg,South Dakota,East,B,Type1,2023-09-02,9,316.39,0.01,2253.33,1112.16,1.2,Completed
MOV1197,Michael Cook,South Katie,Washington,South,A,Type2,2025-12-23,15,867.91,0.19,677.79,2278.86,4.4,Cancelled
